"","Pop_1","Pop_2","Pop_3"
"loc0454",0.3929,0.5476,0.4778
"loc0455",0.2321,0.1429,0.2667
"loc0456",0,0.2619,0
"loc0457",0.3214,0,0
"loc0458",0,0.2619,0
"loc0459",0,0.2619,0.1889
"loc0460",0.3214,0,0
"loc0461",0.2321,0.1429,0.4
"loc0462",0.2321,0.4762,0.2667
"loc0463",0.5,0.5476,0.4889
"loc0464",0.2321,0.2619,0.1
"loc0465",0.125,0,0.1
"loc0466",0,0.2619,0.2667
"loc0467",0.125,0.3571,0.3889
"loc0468",0.125,0,0.1
"loc0469",0.125,0,0.1
"loc0470",0.2321,0.1429,0.3889
"loc0471",0.3393,0.3571,0.3889
"loc0472",0,0.5,0.1
"loc0473",0.125,0.381,0.5
"loc0474",0,0,0.1889
"loc0475",0.5179,0.5,0.4
"loc0476",0.5179,0.4524,0.4
"loc0477",0.2321,0.4286,0.3444
"loc0478",0.3214,0,0
"loc0479",0.3214,0,0
"loc0480",0.3393,0.1429,0.4333
"loc0481",0.3393,0.1429,0
"loc0482",0.3214,0,0
"loc0483",0.5357,0.2857,0.1
"loc0484",0,0.4524,0.4667
"loc0485",0.5357,0.5476,0.4444
"loc0486",0.4821,0.5476,0.5111
"loc0487",0.3929,0.4524,0.5111
"loc0488",0,0,0.1889
"loc0489",0.3214,0,0.3444
"loc0490",0,0,0.1889
"loc0491",0.3214,0.5,0.1889
"loc0492",0.3214,0,0.1889
"loc0493",0.5,0.5476,0.5222
"loc0494",0,0.4524,0.1
"loc0495",0.2321,0.1429,0
"loc0496",0,0,0.1889
"loc0497",0.2321,0.3571,0
"loc0498",0.4821,0.4762,0.4778
"loc0499",0.4821,0.4762,0.4778
"loc0500",0,0.1429,0.1
"loc0501",0.5,0.4762,0.4778
"loc0502",0.5,0.5,0.5
"loc0503",0,0.1429,0.1
"loc0504",0,0.1429,0.1
"loc0505",0.5,0.5,0.5
"loc0506",0,0.1429,0.1
"loc0507",0.5,0.5,0.5
"loc0508",0.5,0.5,0.5
"loc0509",0,0.1429,0.1
"loc0510",0,0.1429,0.1
"loc0511",0,0.1429,0.1
"loc0512",0,0.1429,0.1
